Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,Platinum AWD,Moon Dust,53375,0.0,53375.0,Factory to port,True,Available,5TDEBRCH0RS11L494,University Toyota,WV
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,Factory to port,True,DealerHold,5TDEBRCH0RS12J210,Lancaster Toyota,PA
2024,Platinum AWD,Magnetic Gray Metallic,53375,5783.0,59158.0,Factory to port,False,DealerHold,5TDEBRCH0RS12K017,Toyota of Renton,WA
2024,Platinum AWD,Wind Chill Pearl,53375,2495.0,55870.0,Factory to port,True,,5TDEBRCH0RS12K020,Toyota of Orange,CA
2024,Platinum AWD,Ruby Flare Pearl,53375,0.0,53375.0,Factory to port,False,,5TDEBRCH0RS12K891,SVG Toyota,OH
2024,Platinum AWD,Moon Dust,53375,0.0,53375.0,Factory to port,True,Available,5TDEBRCH0RS13I660,Lia Toyota of Northampton,MA
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,Factory to port,True,,5TDEBRCH0RS13I674,Rivera Toyota of Mt. Kisco,NY
2024,Platinum AWD,Magnetic Gray Metallic,53375,2495.0,55870.0,Factory to port,False,,5TDEBRCH0RS13J364,Toyota of Orange,CA
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Factory to port,False,,5TDEBRCH0RS13J607,South Coast Toyota,CA
2024,Platinum AWD,Midnight Black Metallic,53375,0.0,53375.0,Factory to port,False,,5TDEBRCH0RS13K269,Coad Toyota,MO
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,Factory to port,False,,5TDEBRCH0RS13K532,AutoNation Toyota Buena Park,CA
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,Port to dealer,True,,5TDEBRCH0RS141991,St. Cloud Toyota,MN
2024,Platinum AWD,Moon Dust,53375,0.0,53375.0,At dealer,False,Available,5TDEBRCH0RS142025,David Wilson's Toyota of Las Vegas,NV
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Port to dealer,False,DealerHold,5TDEBRCH0RS142168,Down East Toyota,ME
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Port to dealer,True,,5TDEBRCH0RS142428,Ourisman Chantilly Toyota,VA
2024,Platinum AWD,Blueprint,53375,0.0,53375.0,At dealer,False,Available,5TDEBRCH0RS142543,O'Brien Toyota,IN
2024,Platinum AWD,Moon Dust,53375,0.0,53375.0,Port to dealer,True,DealerHold,5TDEBRCH0RS142736,Beechmont Toyota,OH
2024,Platinum AWD,Blueprint,53375,0.0,53375.0,Port to dealer,False,DealerHold,5TDEBRCH0RS142946,Westbury Toyota,NY
2024,Platinum AWD,Blueprint,53125,0.0,53125.0,At dealer,False,DealerHold,5TDEBRCH0RS603417,Wilson Toyota,IA
2024,Platinum AWD,Magnetic Gray Metallic,53125,0.0,53125.0,Port to dealer,False,DealerHold,5TDEBRCH0RS611016,Price Toyota,DE
2023,Platinum AWD,Ruby Flare Pearl,53025,0.0,53025.0,At dealer,False,DealerHold,5TDEBRCH1PS130558,West Herr Toyota of Orchard Park,NY
