Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,LE FWD,Celestial Silver Metallic,26420,29136,0,26420,Factory to port,False,Available,4T1C11AK0RU15A065,Round Rock Toyota,TX
2024,LE FWD,Celestial Silver Metallic,26420,27814,995,27415,Factory to port,False,,4T1C11AK0RU15A082,Toyota Town,CA
2024,LE FWD,Celestial Silver Metallic,26420,28792,0,26420,Factory to port,False,,4T1C11AK0RU15A129,Bell Road Toyota,AZ
2024,LE FWD,Celestial Silver Metallic,26420,27839,0,26420,Factory to port,False,,4T1C11AK0RU15A972,Toyota of Hopkinsville,KY
2024,LE FWD,Predawn Gray Mica,26420,27839,0,26420,Factory to port,False,,4T1C11AK0RU15B054,Joseph Toyota of Cincinnati,OH
2024,LE FWD,Ice Cap,26420,28198,1595,28015,Factory to port,False,,4T1C11AK0RU15B135,Findlay Toyota,NV
2024,LE FWD,Midnight Black Metallic,26420,28868,0,26420,Factory to port,False,,4T1C11AK0RU15C026,Claremont Toyota,CA
2024,LE FWD,Midnight Black Metallic,26420,28494,0,26420,Factory to port,False,,4T1C11AK0RU15C074,Pearson Toyota,VA
2024,LE FWD,Midnight Black Metallic,26420,28649,0,26420,Factory to port,False,,4T1C11AK0RU15C205,Ardmore Toyota,PA
2024,LE FWD,Ice Edge,26420,28587,0,26420,Factory to port,False,,4T1C11AK0RU15C219,AutoNation Toyota Buena Park,CA
2024,LE FWD,Celestial Silver Metallic,26420,27889,0,26420,Factory to port,False,,4T1C11AK0RU15C298,Bill Page Toyota,VA
2024,LE FWD,Midnight Black Metallic,26420,28718,0,26420,Factory to port,False,,4T1C11AK0RU15C317,Dan Deery Toyota,IA
2024,LE FWD,Ice Cap,26420,28494,0,26420,Factory to port,False,Available,4T1C11AK0RU15C320,Frankfort Toyota,KY
2024,LE FWD,Celestial Silver Metallic,26420,27515,0,26420,Factory to port,False,,4T1C11AK0RU15C348,City Toyota,CA
2024,LE FWD,Ice Edge,26420,28868,0,26420,Factory to port,False,,4T1C11AK0RU15C396,Claremont Toyota,CA
2024,LE FWD,Supersonic Red,26420,29306,0,26420,Factory to port,False,Available,4T1C11AK0RU15C401,Cox Toyota,NC
2024,LE FWD,Celestial Silver Metallic,26420,28850,0,26420,Factory to port,False,,4T1C11AK0RU15D337,John Roberts Toyota,TN
2024,LE FWD,Celestial Silver Metallic,26420,27814,0,26420,Factory to port,False,,4T1C11AK0RU15D368,Frankfort Toyota,KY
2024,LE FWD,Midnight Black Metallic,26420,27969,2294,28714,Factory to port,False,,4T1C11AK0RU15D449,Desert Toyota of Tucson,AZ
2024,LE FWD,Celestial Silver Metallic,26420,28437,395,26815,Factory to port,False,,4T1C11AK0RU15E214,Toyota 101,CA
2024,LE FWD,Celestial Silver Metallic,26420,28638,0,26420,Factory to port,False,,4T1C11AK0RU15E259,South Bay Toyota,CA
2024,LE FWD,Ice Cap,26420,28588,0,26420,Factory to port,False,,4T1C11AK0RU15E357,Bell Road Toyota,AZ
2024,LE FWD,Midnight Black Metallic,26420,28012,0,26420,Factory to port,False,,4T1C11AK0RU15E360,Toyota of Glendale,CA
2024,LE FWD,Ice Edge,26420,28863,499,26919,Factory to port,False,,4T1C11AK0RU15E424,Toyota San Luis Obispo,CA
2024,LE FWD,Midnight Black Metallic,26420,27814,0,26420,Factory to port,False,,4T1C11AK0RU15E441,Passport Toyota,MD
2024,LE FWD,Celestial Silver Metallic,26420,28727,0,26420,Factory to port,False,,4T1C11AK0RU15E598,Maita's Toyota of Sacramento,CA
2024,LE FWD,Celestial Silver Metallic,26420,27889,0,26420,Factory to port,False,,4T1C11AK0RU15E603,Toyota of Clovis,CA
2024,LE FWD,Midnight Black Metallic,26420,28167,1595,28015,Factory to port,False,,4T1C11AK0RU15F458,Findlay Toyota,NV
2024,LE FWD,Predawn Gray Mica,26420,27839,0,26420,Factory to port,False,,4T1C11AK0RU16A210,Joseph Toyota of Cincinnati,OH
2024,LE FWD,Predawn Gray Mica,26420,27814,0,26420,Factory to port,False,,4T1C11AK0RU16A224,AutoNation Toyota Tempe,AZ
2024,LE FWD,Ice Cap,26420,27908,0,26420,Factory to port,False,,4T1C11AK0RU16A241,Avondale Toyota,AZ
2024,LE FWD,Ice Cap,26420,28037,0,26420,Factory to port,False,,4T1C11AK0RU16A448,Ken Ganley Toyota Akron,OH
2024,LE FWD,Predawn Gray Mica,26420,28803,0,26420,Factory to port,False,,4T1C11AK0RU16A949,"Molle Toyota, Inc.",MO
2024,LE FWD,Supersonic Red,26420,28333,0,26420,Factory to port,False,,4T1C11AK0RU16A983,Madera Toyota,CA
2024,LE FWD,Predawn Gray Mica,26420,28387,1190,27610,Factory to port,False,,4T1C11AK0RU16B146,Green's Toyota of Lexington,KY
2024,LE FWD,Celestial Silver Metallic,26420,28237,1595,28015,Factory to port,False,,4T1C11AK0RU16B230,Findlay Toyota,NV
2024,LE FWD,Ice Cap,26420,27814,0,26420,Factory to port,False,,4T1C11AK0RU16B602,AutoNation Toyota Tempe,AZ
2024,LE FWD,Predawn Gray Mica,26420,29254,0,26420,Factory to port,False,,4T1C11AK0RU16B874,Interstate Toyota,NY
2024,LE FWD,Celestial Silver Metallic,26420,28013,0,26420,Factory to port,False,,4T1C11AK0RU16B969,Toyota of Manhattan,NY
2024,LE FWD,Ice Edge,26420,27814,0,26420,Factory to port,False,,4T1C11AK0RU16C250,Hillside Toyota,NY
2024,LE FWD,Ice Edge,26420,28880,0,26420,Factory to port,False,,4T1C11AK0RU16C586,Landers McLarty Toyota,TN
2024,LE FWD,Midnight Black Metallic,26420,28467,0,26420,Factory to port,False,,4T1C11AK0RU16D320,Ourisman Fairfax Toyota,VA
2024,LE FWD,Ice Edge,26420,29092,0,26420,At dealer,False,Available,4T1C11AK0RU215878,Moses Toyota,WV
2024,LE FWD,Midnight Black Metallic,26420,28778,0,26420,At dealer,False,Available,4T1C11AK0RU227755,Gene Messer Toyota,TX
2024,LE FWD,Predawn Gray Mica,26420,28454,0,26420,At dealer,False,Available,4T1C11AK0RU227903,Toyota of Ardmore,OK
2024,LE FWD,Reservoir Blue,26420,29350,1895,28315,At dealer,False,Available,4T1C11AK0RU230610,Don McGill Toyota,TX
2024,LE FWD,Midnight Black Metallic,26420,27978,0,26420,At dealer,False,,4T1C11AK0RU231241,DARCARS Toyota,MD
2024,LE FWD,Ice Cap,26420,29211,0,26420,At dealer,False,Available,4T1C11AK0RU231403,Northshore Toyota,LA
2024,LE FWD,Ice Edge,26420,28928,0,26420,At dealer,False,,4T1C11AK0RU231725,Hertrich Toyota,DE
2024,LE FWD,Celestial Silver Metallic,26420,28248,0,26420,At dealer,False,Available,4T1C11AK0RU231806,Hertrich Toyota of Pocomoke,MD
2024,LE FWD,Predawn Gray Mica,26420,29569,0,26420,At dealer,False,Available,4T1C11AK0RU232373,Red River Toyota,AR
2024,LE FWD,Supersonic Red,26420,29417,0,26420,At dealer,False,Available,4T1C11AK0RU233376,"Phil Wright Toyota, Co.",AR
2024,LE FWD,Ice Cap,26420,28398,0,26420,At dealer,False,Available,4T1C11AK0RU234852,Toyota of Ardmore,OK
2024,LE FWD,Predawn Gray Mica,26420,29032,0,26420,At dealer,False,Available,4T1C11AK0RU236228,Bruner Toyota,TX
2024,LE FWD,Celestial Silver Metallic,26420,29032,0,26420,At dealer,False,Available,4T1C11AK0RU236519,Supreme Toyota of Hammond,LA
2024,LE FWD,Predawn Gray Mica,26420,29390,2605,29025,At dealer,False,Available,4T1C11AK0RU237170,Toyota of Pharr,TX
2024,LE FWD,Predawn Gray Mica,26420,28173,2190,28610,At dealer,False,Available,4T1C11AK0RU237198,Bob Howard Toyota,OK
2024,LE FWD,Ice Edge,26420,28564,0,26420,At dealer,False,,4T1C11AK0RU237542,DARCARS Toyota,MD
2024,LE FWD,Supersonic Red,26420,29367,0,26420,At dealer,False,,4T1C11AK0RU243468,Conicelli Toyota of Springfield,PA
2024,LE FWD,Supersonic Red,26420,28569,0,26420,At dealer,False,,4T1C11AK0RU246368,Fitzgerald Toyota Chambersburg,PA
2024,LE FWD,Predawn Gray Mica,26420,29431,0,26420,At dealer,False,Available,4T1C11AK0RU247374,Four Stars Toyota,OK
2024,LE FWD,Supersonic Red,26420,28967,0,26420,At dealer,False,,4T1C11AK0RU247391,Flow Toyota of Statesville,NC
2024,LE FWD,Midnight Black Metallic,26420,27814,0,26420,At dealer,False,,4T1C11AK0RU247410,Manhattan Beach Toyota,CA
2024,LE FWD,Celestial Silver Metallic,26420,27834,0,26420,At dealer,False,DealerHold,4T1C11AK0RU247763,Kim's Toyota,MS
2024,LE FWD,Predawn Gray Mica,26420,29191,0,26420,At dealer,False,Available,4T1C11AK0RU247875,AutoNation Toyota South Austin,TX
2024,LE FWD,Midnight Black Metallic,26420,28494,0,26420,Port to dealer,False,Available,4T1C11AK0RU248055,Keyes Toyota,CA
2024,LE FWD,Celestial Silver Metallic,26420,29590,1795,28215,At dealer,False,Available,4T1C11AK0RU248072,Universal Toyota,TX
2024,LE FWD,Ice Cap,26420,28743,1398,27818,At dealer,False,,4T1C11AK0RU248301,AutoNation Toyota Irvine,CA
2024,LE FWD,Ice Edge,26420,27814,0,26420,At dealer,False,DealerHold,4T1C11AK0RU248346,Hatch Toyota,AZ
2024,LE FWD,Ice Cap,26420,27734,0,26420,Port to dealer,False,Available,4T1C11AK0RU248489,Lithia Toyota of Redding,CA
2024,LE FWD,Supersonic Red,26420,27940,0,26420,At dealer,False,Available,4T1C11AK0RU248539,First Team Toyota,VA
2024,LE FWD,Ice Cap,26420,28972,0,26420,At dealer,False,DealerHold,4T1C11AK0RU248976,Brownsville Toyota,TX
2024,LE FWD,Ice Edge,26420,27814,0,26420,Port to dealer,False,Available,4T1C11AK0RU249013,Toyota of Escondido,CA
2024,LE FWD,Predawn Gray Mica,26420,28292,0,26420,At dealer,False,,4T1C11AK0RU249139,Kearny Mesa Toyota,CA
2024,LE FWD,Celestial Silver Metallic,26420,27883,0,26420,Port to dealer,False,Available,4T1C11AK0RU249206,Freeman Toyota,CA
2024,LE FWD,Predawn Gray Mica,26420,28528,0,26420,Factory to port,False,Available,4T1C11AK0RU249304,Greg Leblanc Toyota,LA
2024,LE FWD,Ice Edge,26420,27888,0,26420,At dealer,False,,4T1C11AK0RU249559,Concord Toyota,CA
2024,LE FWD,Ice Cap,26420,28108,0,26420,Port to dealer,False,,4T1C11AK0RU249576,Elk Grove Toyota,CA
2024,LE FWD,Celestial Silver Metallic,26420,27814,0,26420,Port to dealer,False,,4T1C11AK0RU249786,Hall Toyota Virginia Beach,VA
2024,LE FWD,Supersonic Red,26420,29796,0,26420,At dealer,False,Available,4T1C11AK0RU249867,Toyota of Cedar Park,TX
2024,LE FWD,Supersonic Red,26420,28239,2995,29415,At dealer,False,Available,4T1C11AK0RU249948,Gosch Toyota,CA
2024,LE FWD,Ice Edge,26420,29553,0,26420,At dealer,False,DealerHold,4T1C11AK0RU250033,Empire Toyota of Huntington,NY
2024,LE FWD,Ice Edge,26420,28108,0,26420,Port to dealer,False,,4T1C11AK0RU250193,Freeway Toyota of Hanford,CA
2024,LE FWD,Reservoir Blue,26420,28037,1997,28417,Port to dealer,False,,4T1C11AK0RU250212,Valley Hi Toyota,CA
2024,LE FWD,Predawn Gray Mica,26420,27924,1695,28115,At dealer,False,Available,4T1C11AK0RU250260,Keating Toyota,TX
2024,LE FWD,Predawn Gray Mica,26420,28213,0,26420,At dealer,False,,4T1C11AK0RU250839,Heritage Toyota Harrisburg,PA
2024,LE FWD,Midnight Black Metallic,26420,28192,0,26420,Port to dealer,False,Available,4T1C11AK0RU250971,Moss Bros. Toyota,CA
2024,LE FWD,Predawn Gray Mica,26420,28129,1495,27915,Port to dealer,False,Available,4T1C11AK0RU251053,Toyota of Fort Worth,TX
2024,LE FWD,Celestial Silver Metallic,26420,27814,0,26420,At dealer,False,,4T1C11AK0RU251120,Toyota Direct,OH
2024,LE FWD,Reservoir Blue,26420,28188,0,26420,Port to dealer,False,,4T1C11AK0RU251201,Brent Brown Toyota,UT
2024,LE FWD,Ice Edge,26420,28487,0,26420,Port to dealer,False,,4T1C11AK0RU251246,Longo Toyota,CA
2024,LE FWD,Midnight Black Metallic,26420,28847,0,26420,Port to dealer,False,Available,4T1C11AK0RU251540,Wondries Toyota,CA
2024,LE FWD,Predawn Gray Mica,26420,28287,0,26420,Port to dealer,False,Available,4T1C11AK0RU251893,Camelback Toyota,AZ
2024,LE FWD,Ice Cap,26420,27814,0,26420,Port to dealer,False,,4T1C11AK0RU252168,Berge Toyota,AZ
