ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024-04-21T00:00:00.000Z,2024,XSE AWD,Sonic Silver,31405,37025,0,31405,At dealer,False,Available,7MUFBABG0RV034394,Toyota of Cedar Park,TX
2024-05-20,2024,S AWD,Jet Black,28220,29570,0,28220,Port to dealer,False,DealerHold,7MUFBABG0RV034444,Markquart Toyota,WI
2024-05-07,2024,XSE AWD,Jet Black,31405,36909,599,32004,At dealer,False,,7MUFBABG0RV034461,Hudson Toyota,NJ
2024-05-16,2024,XSE AWD,Sonic Silver/Jet Black roof,31405,34874,0,31405,Port to dealer,False,DealerHold,7MUFBABG0RV034489,Toyota of Olympia,WA
2024-05-09,2024,SE AWD,Wind Chill Pearl,29540,33344,0,29540,At dealer,False,DealerHold,7MUFBABG0RV034508,Hatch Toyota,AZ
2024-05-07,2024,SE AWD,Sonic Silver/Jet Black roof,29540,33104,0,29540,At dealer,False,DealerHold,7MUFBABG0RV034525,Warrenton Toyota,VA
2024-05-13,2024,XSE AWD,Wind Chill Pearl,31405,33708,0,31405,Port to dealer,True,DealerHold,7MUFBABG0RV034671,Culver City Toyota,CA
2024-04-25,2024,SE AWD,Jet Black,29540,33478,0,29540,At dealer,False,,7MUFBABG0RV034721,Royal South Toyota,IN
2024-05-02,2024,S AWD,Sonic Silver,28220,30232,0,28220,At dealer,False,,7MUFBABG0RV034735,Conicelli Toyota,PA
2024-05-01,2024,S AWD,Jet Black,28220,30009,0,28220,At dealer,False,Available,7MUFBABG0RV034752,Millennium Toyota,NY
2024-05-01,2024,XSE AWD,Wind Chill Pearl,31405,36849,0,31405,At dealer,False,Available,7MUFBABG0RV034766,Bennett Toyota of Lebanon,PA
2024-05-08,2024,XSE AWD,Wind Chill Pearl,31405,34719,0,31405,At dealer,False,,7MUFBABG0RV034797,Moses Toyota,WV
2024-05-06T00:00:00.000Z,2024,XSE AWD,Wind Chill Pearl,31405,35777,0,31405,At dealer,False,,7MUFBABG0RV034802,Germain Toyota of Naples,FL
2024-05-05T00:00:00.000Z,2024,SE AWD,Blue Crush Metallic,29540,32935,1495,31035,At dealer,False,,7MUFBABG0RV034816,Stone Mountain Toyota,GA
2024-05-07,2024,SE AWD,Acidic Blast/Jet Black roof,29540,33879,0,29540,At dealer,True,DealerHold,7MUFBABG0RV034928,Ira Toyota,MA
2024-05-02,2024,SE AWD,Blue Crush Metallic,29540,34119,2190,31730,At dealer,False,,7MUFBABG0RV034962,Sansone Toyota,NJ
2024-05-01,2024,XSE AWD,Celestite,31405,34374,107,31512,At dealer,False,,7MUFBABG0RV034993,Curry Toyota,NY
2024-05-05T00:00:00.000Z,2024,S AWD,Sonic Silver,28220,29570,0,28220,At dealer,False,Available,7MUFBABG0RV035027,Headquarter Toyota,FL
2024-05-06T00:00:00.000Z,2024,SE AWD,Wind Chill Pearl,29540,33489,0,29540,At dealer,False,Available,7MUFBABG0RV035075,Hendrick Toyota Apex,NC
2024-05-13,2024,SE AWD,Wind Chill Pearl,29540,32348,2098,31638,Port to dealer,False,,7MUFBABG0RV035092,Toyota of Surprise,AZ
2024-05-04T00:00:00.000Z,2024,SE AWD,Jet Black,29540,33268,0,29540,At dealer,False,Available,7MUFBABG0RV035139,Joe Myers Toyota,TX
2024-05-03T00:00:00.000Z,2024,SE AWD,Sonic Silver,29540,33380,0,29540,Factory to port,False,Available,7MUFBABG0RV035173,Toyota of Denton,TX
2024-05-03,2024,SE AWD,Celestite,29540,32849,0,29540,At dealer,False,Available,7MUFBABG0RV035223,Thornhill Toyota,WV
