ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024-07-09T00:00:00.000Z,2024,LE FWD,Moon Dust,39270,44882,0,39270,Factory to port,False,Available,5TDKDRAH0RS25A231,AutoNation Toyota Mall of Georgia,GA
2024-07-01T00:00:00.000Z,2024,XLE FWD,Moon Dust,42420,46918,599,43019,Factory to port,False,Available,5TDKDRAH0RS25A343,Landers Toyota,AR
2024-07-14,2024,Limited FWD,Moon Dust,46525,50358,2495,49020,Factory to port,False,,5TDKDRAH0RS25A469,Toyota of Orange,CA
2024-07-13T00:00:00.000Z,2024,Platinum FWD,Blueprint,49725,54664,3488,53213,Factory to port,False,Available,5TDKDRAH0RS25A486,Scott Clark Toyota,NC
2024-07-15,2024,Limited FWD,Wind Chill Pearl,46525,50053,0,46525,Factory to port,False,,5TDKDRAH0RS25A553,Santa Margarita Toyota,CA
2024-07-10T00:00:00.000Z,2024,XLE FWD,Celestial Silver Metallic,42420,48514,0,42420,Factory to port,False,,5TDKDRAH0RS25A598,Toyota of Hollywood,FL
2024-07-08T00:00:00.000Z,2024,XSE FWD,Wind Chill Pearl,44015,46763,0,44015,Factory to port,False,Available,5TDKDRAH0RS25A620,Bill Penney Toyota,AL
2024-07-15,2024,XLE FWD,Moon Dust,42420,46576,0,42420,Factory to port,False,,5TDKDRAH0RS25A634,Tustin Toyota,CA
2024-07-07T00:00:00.000Z,2024,XLE FWD,Celestial Silver Metallic,42420,44593,0,42420,Factory to port,False,Available,5TDKDRAH0RS25A701,Bill Penney Toyota,AL
2024-07-15,2024,XLE FWD,Magnetic Gray Metallic,42420,46246,0,42420,Factory to port,False,,5TDKDRAH0RS25A729,Tustin Toyota,CA
2024-07-09T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,42420,49546,0,42420,Factory to port,False,Available,5TDKDRAH0RS25A732,Arlington Toyota,FL
2024-07-16,2024,XLE FWD,Magnetic Gray Metallic,42420,46319,0,42420,Factory to port,False,,5TDKDRAH0RS25A777,Manhattan Beach Toyota,CA
2024-07-10T00:00:00.000Z,2024,Platinum FWD,Moon Dust,49725,54092,0,49725,Factory to port,False,Available,5TDKDRAH0RS25B167,Central Florida Toyota,FL
2024-07-15,2024,Limited FWD,Magnetic Gray Metallic,46525,49906,1443,47968,Factory to port,False,,5TDKDRAH0RS25B234,Toyota of Lancaster,CA
2024-07-10T00:00:00.000Z,2024,XLE FWD,Magnetic Gray Metallic,42420,46969,0,42420,Factory to port,False,Available,5TDKDRAH0RS25B363,Cobb County Toyota,GA
2024-07-10T00:00:00.000Z,2024,XLE FWD,Midnight Black Metallic,42420,45221,0,42420,Factory to port,False,Available,5TDKDRAH0RS25B380,Gettel Toyota of Bradenton,FL
2024-07-18,2024,XLE FWD,Magnetic Gray Metallic,42420,46320,0,42420,Factory to port,False,,5TDKDRAH0RS25B458,Tustin Toyota,CA
2024-07-14T00:00:00.000Z,2024,Platinum FWD,Moon Dust,49725,55717,0,49725,Factory to port,False,Available,5TDKDRAH0RS25B556,Butler Toyota,GA
2024-07-25,2024,Limited FWD,Magnetic Gray Metallic,46525,49853,1793,48318,Factory to port,False,,5TDKDRAH0RS26A225,DCH Toyota of Oxnard,CA
2024-07-13T00:00:00.000Z,2024,XLE FWD,Celestial Silver Metallic,42420,45341,0,42420,Factory to port,False,Available,5TDKDRAH0RS26A337,Ed Morse Delray Toyota,FL
2024-07-16T00:00:00.000Z,2024,XLE FWD,Midnight Black Metallic,42420,46762,0,42420,Factory to port,False,Available,5TDKDRAH0RS26A354,Lipton Toyota,FL
2024-07-13T00:00:00.000Z,2024,XLE FWD,Midnight Black Metallic,42420,45391,0,42420,Factory to port,False,Available,5TDKDRAH0RS26A368,Treasure Coast Toyota of Stuart,FL
2024-07-20T00:00:00.000Z,2024,XSE FWD,Magnetic Gray Metallic,44015,49502,0,44015,Factory to port,False,Available,5TDKDRAH0RS26A418,AutoNation Toyota Mall of Georgia,GA
2024-07-22,2024,XSE FWD,Wind Chill Pearl,44015,48895,0,44015,Factory to port,False,,5TDKDRAH0RS26A466,Toyota of Santa Maria,CA
2024-07-14T00:00:00.000Z,2024,Limited FWD,Moon Dust,46525,50123,0,46525,Factory to port,False,Available,5TDKDRAH0RS26A838,Bill Penney Toyota,AL
2024-07-25,2024,Limited FWD,Wind Chill Pearl,46525,50053,1595,48120,Factory to port,False,,5TDKDRAH0RS26A922,Findlay Toyota,NV
2024-07-14T00:00:00.000Z,2024,XSE FWD,Midnight Black Metallic,44015,46587,0,44015,Factory to port,False,Available,5TDKDRAH0RS26A984,Bryan Easler Toyota,NC
2024-07-14T00:00:00.000Z,2024,XLE FWD,Magnetic Gray Metallic,42420,44514,0,42420,Factory to port,False,Available,5TDKDRAH0RS26B035,Phillips Toyota,FL
2024-07-20T00:00:00.000Z,2024,XLE FWD,Magnetic Gray Metallic,42420,49106,0,42420,Factory to port,False,Available,5TDKDRAH0RS26B052,AutoNation Toyota Mall of Georgia,GA
2024-07-22,2024,XLE FWD,Moon Dust,42420,46057,2799,45219,Factory to port,False,,5TDKDRAH0RS26B102,Wondries Toyota,CA
2024-07-13T00:00:00.000Z,2024,XSE FWD,Wind Chill Pearl,44015,47262,0,44015,Factory to port,False,Available,5TDKDRAH0RS26B116,Springhill Toyota,AL
2024-07-17T00:00:00.000Z,2024,Limited FWD,Wind Chill Pearl,46525,51391,0,46525,Factory to port,False,Available,5TDKDRAH0RS26B259,Toyota of Gastonia,NC
2024-07-13T00:00:00.000Z,2024,XSE FWD,Midnight Black Metallic,44015,47665,0,44015,Factory to port,False,Available,5TDKDRAH0RS26B648,Miracle Toyota of North Augusta,SC
2024-07-17T00:00:00.000Z,2024,XLE FWD,Blueprint,42420,45663,0,42420,Factory to port,False,Available,5TDKDRAH0RS27A253,Toyota of Orlando,FL
2024-07-20T00:00:00.000Z,2024,XLE FWD,Celestial Silver Metallic,42420,47176,0,42420,Factory to port,False,Available,5TDKDRAH0RS27A317,Southern 441 Toyota,FL
2024-07-26,2024,XLE FWD,Wind Chill Pearl,42420,45402,1398,43818,Factory to port,False,,5TDKDRAH0RS27A320,AutoNation Toyota Tempe,AZ
2024-07-21T00:00:00.000Z,2024,LE FWD,Wind Chill Pearl,39270,43913,0,39270,Factory to port,False,Available,5TDKDRAH0RS27A723,Lowe Toyota of Warner Robins,GA
