ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024-10-23T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,43070,46477,0,43070,Factory to port,False,Available,JTMAAAAA0RA045574,Ryburn Toyota,AR
2024-10-26T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,43070,47353,895,43965,Factory to port,False,Available,JTMAAAAA0RA046160,Jim Norton Toyota,OK
2024-11-09T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,43070,47553,0,43070,Factory to port,False,Available,JTMAAAAA0RA046630,Toyota of Denton,TX
2024-11-08T00:00:00.000Z,2024,XLE FWD,Black,43070,46857,0,43070,Factory to port,False,Available,JTMAAAAA0RA046644,Toyota of Plano,TX
2024-10-28,2024,Limited FWD,Heavy Metal with Black roof,47180,51729,0,47180,Factory to port,False,,JTMAAAAA1R136CQ96,Toyota of El Cajon,CA
2024-11-16,2024,XLE FWD,Heavy Metal,43070,45354,0,43070,Factory to port,False,,JTMAAAAA1R136DN63,New Country Toyota of Westport,CT
2024-11-03,2024,XLE FWD,Elemental Silver Metallic,43070,45769,0,43070,Factory to port,False,,JTMAAAAA1R137CS80,AutoNation Toyota Buena Park,CA
2024-11-04,2024,XLE FWD,Heavy Metal,43070,46609,0,43070,Factory to port,False,,JTMAAAAA1R137CS94,Manhattan Beach Toyota,CA
2024-10-30,2024,XLE FWD,Heavy Metal,43070,46174,358,43428,Factory to port,False,,JTMAAAAA1R137DA85,City Toyota,CA
2024-10-24,2024,XLE FWD,Heavy Metal,43070,46198,0,43070,Factory to port,False,,JTMAAAAA1R137DA99,Dublin Toyota,CA
2024-11-12,2024,XLE FWD,Black,43070,45274,0,43070,Factory to port,False,,JTMAAAAA1R137EA88,Jim White Toyota,OH
2024-11-23,2024,XLE FWD,Elemental Silver Metallic,43070,46194,1899,44969,Factory to port,False,,JTMAAAAA1R137EA91,Wolfchase Toyota,TN
2024-11-11T00:00:00.000Z,2024,XLE FWD,Black,43070,46583,0,43070,Factory to port,False,Available,JTMAAAAA1R137FE35,J. Allen Toyota,MS
2024-07-13T04:00:00.000Z,2024,XLE FWD,Heavy Metal,43070,45622,1797,44867,At dealer,False,Available,JTMAAAAA1RA039010,Rick Hendrick Toyota Sandy Springs,GA
2024-07-16T00:00:00.000Z,2024,XLE FWD,Elemental Silver Metallic,43070,47453,0,43070,At dealer,False,Available,JTMAAAAA1RA039508,Poe Toyota,TX
2024-07-16T00:00:00.000Z,2024,XLE FWD,Supersonic Red,43070,47253,0,43070,At dealer,False,Available,JTMAAAAA1RA040027,North Park Toyota of San Antonio,TX
2024-08-07T04:00:00.000Z,2024,XLE FWD,Black,43070,45617,0,43070,At dealer,False,Available,JTMAAAAA1RA040447,World Toyota,GA
2024-10-18,2024,Limited FWD,Heavy Metal with Black roof,47180,51344,0,47180,Factory to port,False,,JTMAAAAA1RA040643,Toyota of North Hollywood,CA
2024-07-25,2024,XLE FWD,Elemental Silver Metallic,43070,46059,0,43070,At dealer,False,Available,JTMAAAAA1RA040769,Hamer Toyota,CA
2024-08-09T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,43070,47353,0,43070,At dealer,False,Available,JTMAAAAA1RA041226,Fowler Toyota of Tulsa,OK
2024-08-09T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,43070,47553,0,43070,At dealer,False,Available,JTMAAAAA1RA041260,Fox Toyota of El Paso,TX
2024-08-19T04:00:00.000Z,2024,Limited FWD,Black,47180,49024,0,47180,At dealer,False,Available,JTMAAAAA1RA041484,Nalley Toyota Union City,GA
2024-08-15T04:00:00.000Z,2024,XLE FWD,Black,43070,45414,0,43070,At dealer,False,Available,JTMAAAAA1RA041808,Cherokee County Toyota,GA
2024-08-14T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,43070,47353,0,43070,At dealer,False,Available,JTMAAAAA1RA041923,North Park Toyota of San Antonio,TX
2024-08-27,2024,XLE FWD,Wind Chill Pearl,43070,46601,0,43070,At dealer,False,DealerHold,JTMAAAAA1RA042571,North Bakersfield Toyota,CA
2024-09-10T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,43070,46752,699,43769,At dealer,False,Available,JTMAAAAA1RA043073,Landers Toyota,AR
